sentence1,sentence2,gold_label
Two boys are playing a game.,The girls are playing with dolls.,contradiction
A couple are dressed in costumes.,The people aren't in costumes,contradiction
A woman in a tan coat is sleeping on a man with glasses.,A boy is swimming with his brother.,contradiction
A group of people with children are performing on a stage.,A few children playing reading in class.,contradiction
A woman snow skiing in a yellow jacket and black pants.,The woman skiing is a secret agent that can spy on people through pictures posted on the internet.,contradiction
"Two women, one with a head bandanna, are standing next to each other while one holds a bottle.",Two guys are next to each other holding hands.,contradiction
A man is wiping snow off of his car in front of a red building.,A man wiping snow of a car in the middle of a forest with no buildings around him.,contradiction
Four teenagers dressed in black and white shirts and blue jeans walk down a sidewalk.,the teenagers are doing homework at their house,contradiction
Three men getting some kind of grass together on a windy day.,The men are watering a yard in the rain.,contradiction
The boy is outside enjoying a summer day.,The boy is stuck in the snow.,contradiction
"People, including a man and a woman in pink shirts, are walking along a Chinese street.","People, including a man and a woman in pink shirts, are walking along a Chinese street.",contradiction
A policeman is riding a vehicle through a building.,A motorcycle cop is jumping an outdoor ramp.,contradiction
A woman with sunglasses talks to a man who is holding his arms at his side.,A woman is reading from a book.,contradiction
A barefooted young man rides his skateboard up a ramp.,A man is riding motocross.,contradiction
A young man in a green sweatshirt reads a newspaper on the beach.,All water on planet Earth has been stolen by space nazis.,contradiction
"A band on stage playing instruments like trumpets, trombones, french horns and violins while one of the men sings into a microphone.",A band is on a tour bus.,contradiction
Smiling man with reflective classes.,The man is snarling at the kids.,contradiction
A basketball player attempts a layup in a gymnasium.,A surfer is catching a huge wave.,contradiction
Two kids play hockey on a pond.,Two kids are playing soccer in the ocean.,contradiction
A man in a yellow helmet climbs up a rock cliff.,A man falls off a cliff.,contradiction
A woman is pushing a red stroller down a sidewalk.,A man is pushing a stroller.,contradiction
A man in a white shirt is walking across the street.,A lady with red hair reads a book.,contradiction
man laying on bench holding leash of dog sitting on ground,A man is holding his dog while he rests on a bench.,contradiction
A man in a blue hat with a red coat and stocking and dark kilt and shoes dances with his arm around a woman in a white shirt and black-plaid dress.,The two people are enjoying a nice dinner out.,contradiction
A person is riding his dirt bike.,A dirt bike sits on a trailer.,contradiction
A group of school children practice dancing.,Men and women are in a meeting.,contradiction
People going for a walk in a diverse city.,they are in the country,contradiction
A man in a black wetsuit is surfing.,A man is body boarding,contradiction
Man does a flying kick to his opponent in a karate competition inside a gym with referee looking on.,a man sleeps in his bed,contradiction
Two people sitting down on the peer behind a docked ship,the people are standing,contradiction
The young girl wearing a pink striped dress is swinging in the child's swing.,The young boy wearing a pink striped dress is swinging in the child's swing.,contradiction
The bell at the top of the tower appears to be surrounded by some sort of fence or wiring.,The tower has an opening at the top which looks like it used to contain a bell.,contradiction
A dog is jumping over a log with ears flying and tongue out.,A dog is preparing to fight a mammoth.,contradiction
A black dog running in a race.,A horse is running around a track.,contradiction
"Two men with their bodies, clothes, and hair dyed stand performing.",The men are sleeping,contradiction
A very large crowd of people are in a city street.,A man whistles to himself.,contradiction
A man wearing jeans and carrying a backpack is walking down a paved walkway.,A man in a dress is walking down a paved walkway.,contradiction
black man in red shirt with tie sitting on a bus,The black man is naked at the park.,contradiction
A woman in a blue shirt is standing by a blue tent.,There is a woman sleeping.,contradiction
Motorcycle racer going into a turn.,Nobody is racing.,contradiction
A blond girl and brunette girl walking.,Two girls are brothers.,contradiction
Two martial artists spar while a referee wearing a tie looks on.,Two tennis players are having a match,contradiction
a man standing behind a black dog with a red collar,A man sits in front of a yellow dog that he just bought at the mall.,contradiction
"A man and a woman, both holding packets, talk to two seated men in a well-lit lobby area.",The man and woman shouted to the the two men because it was dark.,contradiction
Four casually dressed guys jumping down a stairway outdoors with a stone wall behind them.,Four man in business suits are walking up the stairs.,contradiction
Older man getting his shoes shined while reading a paper.,An old man polishes his wood floor with paper.,contradiction
Two men out in the field carrying a broken remote control airplanes with looks of despair.,Two woman are running,contradiction
"An overweight woman wearing a red scarf, denim jacket, gloves and sunglasses is juggling three oranges outdoors with a house in the background.",The woman is tripping over her unicycle and falling into oncoming traffic.,contradiction
A woman is using a mirror to show a young girl what her painted face looks like while a crowd looks on.,a woman has no reflection,contradiction
A blond child swinging on a swing.,The child is on a bike riding.,contradiction
"A man in a white shirt, black vest and black tie with a black hat entertains a large crowd of people in a city with buildings rising in the background and trees all around.",The man is wearing a dress.,contradiction
A big dog sniffs a little dog.,The little dog sniffs the big dog.,contradiction
A boy is suspended in a bouncy harness in front of a marina.,No one is in front of a marina,contradiction
A driver is at the wheel of a race car.,"There is no wheel where the driver is, in a race car.",contradiction
A child sitting on a rock formation.,A kid at home on the bed.,contradiction
Two people sitting at a table in a restaurant.,Two people are scuba diving.,contradiction
A dog is laying on the ground in front of a door with Asian writing on it.,The dog is at the groomers having his claws trimmed.,contradiction
Couple taking baby for a walk in a stroller.,A couple and their baby are rolling down a hill,contradiction
A nursing staff in front of a cart that says magnet is you.,A nurse staff is pointing out the picture.,contradiction
"Two boys walking down the street, with one giving a peace sign.",A girl is waving from atop a float in a parade moving down the street.,contradiction
"There are two football players, one wearing a blue and yellow uniform holds the ball, and the other wears a white uniform.",A girl kicks a soccer ball.,contradiction
The family is enjoying their dinner.,The family has food poisoning from undercooked turkey.,contradiction
"A young woman wearing a blue coat and brown leggings getting ready to walk into a building, after riding her bicycle.",A woman is crying hysterically in a movie theater where no movie is showing.,contradiction
A man sitting on a bed focusing on something on his lap with a wall full of paper butterflies behind him.,The wall is plain blue.,contradiction
Two boys playing around the shores of a lake with one boy in a teal shirt throwing rocks into the lake.,Two boys play drums inside.,contradiction
Two men in orange jumpsuits are walking along a street.,The men are wearing black.,contradiction
A boy and a girl are swinging on a swing set in a park.,Two children slide down a slide,contradiction
People walking on the sidewalk in a downtown area during the day.,People walking in the middle of a jungle.,contradiction
A group of men walk down a city street.,The group of men run along treadmills.,contradiction
People and cars in a parking lot in front of buildings.,The cars are in a park,contradiction
Men examine meat at an outdoor meat market.,A couple men are trying to find some fruits.,contradiction
A white sign with a blue arrow instructs people where to go.,A traffic sign tells people to stop,contradiction
A boy is standing in the snow next another child bent over a big ball of snow.,The girls sit in the snow and make snowangels.,contradiction
A man playing his saxophone in a public area.,A man is playing a trumpet in a car.,contradiction
A young boy holds an AK-47.,The boy is not holding a gun,contradiction
Two women repairing a wall with concrete.,A priest is getting his hands dirty by helping fix a wall with concrete.,contradiction
"Two men sitting comfortably in front of a large screen, giving what appears to be a speech to an audience.",Two men are sitting down playing cards.,contradiction
a asian man gives an evil eye to the camera.,the goat eats cheese,contradiction
A young woman in a floral apron is mixing something and holding up a spoon.,The woman is contemplating what to make.,contradiction
Drag queen wearing polka dots passing out orange juice.,a real woman shares some juice,contradiction
An older woman with brown hair is dancing with a man in a white shirt.,The man is wearing a brown shirt and dancing with a younger woman.,contradiction
"There are two children at home, playing.",The children are studying at school.,contradiction
A beagle stands in the sand and grass.,A rotweiller is attacking a pigeon on the street,contradiction
A rock climber uses sophisticated equipment to rappel down the side of a cliff.,There is a person climbing a cliff.,contradiction
A woman in blue shorts is walking near a large rock in a shallow river.,A woman walks beside a raging river.,contradiction
Young brown children watching something on the internet.,Adults watching porn online.,contradiction
"Two women, on a beach doing yoga.",Men playing tennis.,contradiction
A black dog wading through water.,the black dog is sleeping on the sand,contradiction
"Three persons are riding skateboards on a curvy road, wearing helmets and protective gears.",The three people are riding bicycles.,contradiction
A black dog is in midair as a woman behind it cheers.,A group is having something good.,contradiction
A man in a red go-kart sitting in a driveway.,The man is standing by the go-kart.,contradiction
A black man in a brown hat and a blue suit is holding a large vintage camera and smiling.,A child steals the old camera.,contradiction
Person walking home late at night.,Ten people are walking home late.,contradiction
A view from the front of passengers seated on an airplane.,The passengers are walking on the plane.,contradiction
A boys soccer team coach talking to his team on a soccer field.,The coach is in a car.,contradiction
A man in a white hat and blue shirt sorting through doll parts.,A man in a white hat and green shirt is sorting through doll parts.,contradiction
Everybody (including the catcher and guys in the dugout) watch where the ball goes after it is hit by the batter.,"The baseball field is empty, covered with snow as the wind blows coldly.",contradiction
"A group of people wearing yellow shirts, with one woman wearing an orange tank top, biking on stationary bikes.",A group of people are drinking at a pub,contradiction
A man is pouring something in a cup from a beverage machine.,A man is buying a candy bar from a beverage machine.,contradiction
Man scraping snow and ice off of the car with a red house in the background.,A man washes his car in front of a blue house.,contradiction
"A crowd of people is surrounding and watching a black male in black jeans, a black shirt, a black hat and white sneakers who appears to be dancing.",A crowd of people discouraged the black male performance.,contradiction
A utility worker is scaling a building.,A worker is sleeping near the a building.,contradiction
A monster truck soars into the air at an arena.,A car soars into the air at an arena.,contradiction
A woman is rubbing paper onto a cookie sheet in a kitchen.,A woman is taking a nap,contradiction
A blond woman trying on some heels in a shoe store.,A black woman trying on some heels in a shoe store,contradiction
"Women in coats wait, while another woman drags a suitcase in a cement concourse.",Severa women in bathing suits are at the beach.,contradiction
A rider is pulling a wheelie on a motorcycle.,the birds were short necked,contradiction
A child in a black t-shirt and board shorts jumping on a trampoline.,A child is on a monocycle.,contradiction
An Asian storefront with bikes and people walking.,A library that has closed.,contradiction
Several women are making flower arrangements behind a green counter.,Many girls writing the test.,contradiction
The man leads his black and white dog across a blue obstacle.,The guide dog is showing it's owner how to get across a busy street.,contradiction
A person is carrying their white canoe down a rocky trail while a black dog in a red collar watches.,A person is doing nothing.,contradiction
A young boy is cooking meat on a grill outside.,An old man is grilling eggplant outside for his vegetarian picnic.,contradiction
Three women standing by a table with drinks on it on a city sidewalk.,a motorcycle crashes into a ditch,contradiction
A little boy has a pacifier in his mouth and throwing up a sign with his hand.,A boy is sleeping on a blanket.,contradiction
"In the Fall, college students return to their schools.",College students at the basketball game.,contradiction
"A female teacher with three students at her side, work on the chalkboard in front of a class of students.",The teacher is singing to a potato.,contradiction
A construction worker in jeans is climbing scaffolding.,A construction worker in jeans sunbeathing at the beach.,contradiction
Woman working on a PC in her bathrobe.,A woman in pajamas working on a tablet.,contradiction
A boy is riding on an orange bodyboard in the ocean.,A boy is drowning in the ocean,contradiction
"A man in a suit, sitting behind a desk covered with radio paraphernalia, speaks into a microphone.",the man was jumping off a train,contradiction
A small child is lifted off the ground by centrifugal force while on a merry-go-round.,A dog is riding a roller coaster.,contradiction
The two horses are beautiful.,There is only one horse present.,contradiction
A man is performing in the street playing two instruments at the same time.,The  man is near a street watching a performer.,contradiction
A pretty young woman wearing a blue ruffled shirt smelling a pretty red flower.,THe woman is wearing a orange ruffled shirt.,contradiction
Two row of trees leading to an open gate.,The palm trees are on an island.,contradiction
A child wearing a red coat is pointing into a Loewe store window.,A child is playing in his living room.,contradiction
A black dog leaps in the air while playing outside.,A man driving a car is wearing a clown nose.,contradiction
"Young children are sitting around in a crowd, watching and imitating something.",Some kids on home watching television.,contradiction
A half dozen show-shoers gear up and chat at the car while mountains and pine trees dominate the background.,These people are currently walking down a busy city block.,contradiction
Dilapidated buildings in the background of a lot of green grass.,There is no grass.,contradiction
A woman pole vaulter upside down as she attempts the vault.,A man is pole vaulting.,contradiction
Large group of people watching a musical performance at a market outside.,People are in a theater watching a play.,contradiction
"Two martial artists, one blue belt and one red belt, fight in front of an audience.",Two martial artists with black belts are fighting in front of an audience.,contradiction
Two people in uniform riding brown horses and some kids standing around a bike.,Two people riding black motorcycles and some kids sitting around a bike.,contradiction
A male is sitting in a chair with a blue surgical mask on.,The man is walking around the room.,contradiction
"A portly, bearded gentleman puts on a green robe with white cuffs to match his green pants.",This guy is emaciated.,contradiction
A man with a red apron and a white cook's hat is standing in front of his food cart.,There is a chef in Burger King,contradiction
"A woman wearing gray, sitting on a picnic table by a baby stroller.",An empty picnic table.,contradiction
The Irish Setter is retrieving a flashlight from the pond.,A dog dropping a flashlight into the pond,contradiction
a man and woman wearing winter clothing try to sell various items on a table outside.,A woman in a bathing suit is in a restaurant.,contradiction
Three young men playing a game of Monopoly in which two of them are physically arguing.,The three young men are playing chess.,contradiction
An old Buddhist monk wearing glasses is praying with beads in his hand.,A monk is flying.,contradiction
Several African women sit in front of a hut.,The women sit inside the hut.,contradiction
"Two children, an older boy and a younger girl, are walking down a sidewalk wearing their winter coats.",Two children are sitting.,contradiction
"a man dressed as an Indian, speaking into a microphone",The woman is giving a lecture on World War II.,contradiction
"A man with a dog and a woman carrying something blue in a clear plastic bag, standing on a city street.",The man and woman have a tiger on a diamond-encrusted leash.,contradiction
"A black dog, running in the snow.",A dog is eating grass.,contradiction
One student argues with another over an assignment.,Two students argue with another over an assignment.,contradiction
Three people on a field playing with a disc or frisbee.,The people are watching television.,contradiction
A woman is at the beginning stage of knitting something amazing in a room filled with other knitters.,No one is knitting.,contradiction
A man wearing a black shirt and a girl wearing an orange shirt sitting on the pavement eating.,A boy and a girl ride their bikes down the street.,contradiction
A man next to his black jeep.,A man is driving his Jeep.,contradiction
A woman wringing out a mop.,The woman is running in a marathon.,contradiction
Women playing beach volleyball.,There are women outdoors having a picnic.,contradiction
A man in a beret and leather jacket writing in a small notebook.,The man is coloring a book.,contradiction
An elderly man drives a unique firetruck.,The elderly man is at the gym.,contradiction
A man is pulling two children on a sled in the snow behind other people.,2 children on a bike with a man,contradiction
"A black dog stands on a rock, green fields behind him.",A black dog rests its head on the couch.,contradiction
A muzzled greyhound leaps over grassy ground.,The greyhound is running through the building.,contradiction
Children scoop beans out of a plastic tub and into cups.,A man makes soup.,contradiction
The back of a man with black shorts and a white shirts walking next to a building.,The man just got out of the gym,contradiction
A fisherman untangles his fishing nets in his blue boat as it sits on the water.,A fisherman is at home after a long days work.,contradiction
A young boy is playing with his ball in front of a building.,A girl is playing with a jump rope.,contradiction
A woman is holding a drink high in the air.,The woman has both arms folded.,contradiction
"There is a flatbed truck on the street, and three workmen in safety vests next to it.",The workers in safety vests are pushing the flatbed truck.,contradiction
The boy is jumping in the air.,The boy is sitting inside.,contradiction
A young boy with dark hair and a plaid shirt looks up into the distance.,An adult boy with blonde hair runs toward the horizon.,contradiction
"A woman fillets a fish, as part of preparing a recipe that includes broccoli, celery, and eggs.",dog looks at steak,contradiction
A woman in a teal shirt and a beige cardigan looks away from the board game she is sitting in front of.,The woman is staring intensely at the position of the game.,contradiction
A woman in a purple shirt and a woman wearing a hard hat are attached by harnesses to a pole.,The women are asleep.,contradiction
"A young blond woman wearing a black shirt and khaki hat looks at the camera, and other people are standing around on the sidewalk area behind her.",A young man smiles at the camera.,contradiction
"A woman and her son walk down a long, leaf-strewn path, while two people ride their horses in the opposite direction.",There are no animals on the path.,contradiction
A man bought a fruits with a smile,A man angrily purchases some fruit.,contradiction
A young man sits on the curb while another rides a skateboard with green wheels down the street.,Two young men riding skateboards.,contradiction
"A brown dog is in a blue tub, while one person holds his leash and another is soaping him.",The dog is in mid sprint through an open field.,contradiction
A toddler boy playing in his garden with his arms spread wide open.,Two small children are playing in a sand box.,contradiction
Kids are practicing for an event that they will perform at school.,Kids are being lazy instead of practicing for an event that they will perform at school.,contradiction
Two girls wearing colorful shirts and shorts standing in a lighted shower stall.,Two men in colorful clothing are taking a shower.,contradiction
A woman in a bikini enjoying a day at the beach by the ocean.,A lady in a one-piece dips her toe in the water.,contradiction
A group of men on a boat that is tipped wearing helmets.,Guys are jumping up and down.,contradiction
A young woman is playing pool.,Two people are playing darts.,contradiction
"A man and woman in a loving embrace, behind the man is two motorcycle helmets.",two people running.,contradiction
A light colored dog leaps in a field.,The dog is running after a cat.,contradiction
"Four young girls, one of which is wearing a skirt, or standing at the beach while an older adult looks on.",Four old women and one really old woman sit on a beach.,contradiction
2 policemen having a conversation in the street.,A cop is on patrol alone.,contradiction
Two women talk to each other outside.,Two women are drinking wine in the kitchen.,contradiction
Construction worker lining a house roof with materials,A person is in bed sick.,contradiction
"A woman in a blue, tan and beige striped shirt is smoking.",A woman gets her hair done in a salon.,contradiction
Two asian children sitting in chairs in the street on summer day.,Two black children are sitting in chairs,contradiction
Workers moving bricks from a white and green truck.,Workers are putting bricks on a white and green truck.,contradiction
A man wearing winter clothes and a hard hat is climbing over a snowy ledge using a rope attached to his waist.,There is a woman in a green skirt sitting.,contradiction
man with guitar on stage drinking a can drink.,A man in a suit working at his desk.,contradiction
A group of young people sitting and talking.,the group of people are at the strip club.,contradiction
A man watches two small boys playing in a naturally formed rock.,Nobody is watching.,contradiction
Men with black vests are standing in the back as a woman raises a yellow flag.,There are dogs sitting in the parliament,contradiction
A group of women are performing on a basketball court floor.,boy plays sega saturn,contradiction
A popular tobacco bar in the city.,The bar is in the desert.,contradiction
A group of people (most or all girls) sits Indian style in a line in an extremely dark area.,The women are paying for shoes,contradiction
A woman walking in front of a FIFA add.,A lady is drinking beer.,contradiction
Woman carrying baggage and drink talking on cellphone.,A woman is making a phone call on a payphone.,contradiction
"A little girl dressed in a pink shirt, blue shorts and a pink hair ribbon feeding ducks that are swimming in water.",A pie contest is held with twelve contestants.,contradiction
A man taking a photo of an outdoor cafe.,A man is loading film in a camera,contradiction
Older man with white shirt and gray shorts and sandals walks with older female with an orange hat and purse.,An older man in a black shirt walks with a young girl.,contradiction
Man brewing and drinking coffee.,man at auditorium,contradiction
A dachshund watches an old man in a hat as he paints a still life.,The man is photographing the Chihuahua.,contradiction
A man in a leather jacket and hat looking off into the distance.,A woman looking into the distance,contradiction
a woman surfer on a white surfboard riding a large wave,a man surfer on a white surfboard riding a large wave,contradiction
"A man stands at the top of a ladder, extending his right hand to another man that is holding a cable from a third story window.",A woman is at the bottom of a step stool.,contradiction
Several young people sit at a table playing poker.,Young people are wrestling each other.,contradiction
The man in the yellow shirt is singing and playing guitar.,There is a blonde woman in all black dangling from a rope and picking up large diamond in the middle of an empty museum.,contradiction
Four asian women dressed in yellow dresses perform a ballet.,A group of girls plays basketball.,contradiction
An Asian store with people walking throughout and a big red arrow pointing left.,An Asian store with people skipping about near a big green arrow pointing right.,contradiction
A group of men are watching a woman in a short white dress.,Men are playing game with a woman.,contradiction
A man sleep in a chair next to a roll of toilet paper.,The man is asleep on his bed.,contradiction
A train conductor looks out the window of his train while smiling.,A passenger on a train is crying into his soup in the dining car.,contradiction
People standing and walking around in front of a shopping area.,A group of people sit in a field.,contradiction
Children getting pulled into water pit while playing tug-of-war.,The children are playing a game of chess.,contradiction
Two men and a boy ice skating.,The boy and his parents are on a frozen pond.,contradiction
A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl.,The girl was playing with Lincoln Logs.,contradiction
"One man has a microphone, while a nearby couple dances.",a couple sings to a dancing man,contradiction
two life like human structures dancing in a window mural.,a man throwing a brick,contradiction
"An Asian chef is working in the kitchen, and is smiling after putting the food he has made in a wok into a ""to-go"" container.",A man is skipping through a meadow,contradiction
A man walking with his hands in his pants pockets.,A gentleman running in a marathon.,contradiction
A man wearing denim plays a bass against a dun wall.,A man fishes for bass at a lake.,contradiction
A crying child and people walking in a park.,A family with a child are at a museum.,contradiction
Two dogs run through the brush.,The dogs are being brushed by their owner.,contradiction
"Baby in a bubble bath, held by a woman in a blue shirt.",A father gives his son a bath.,contradiction
girls singing at a talent show.,There are boys singing at a talent show.,contradiction
Two girls in identical purple dresses standing outside.,The boys run outside.,contradiction
"Young dark blond-haired boy in a blue shirt, in a store during the day, drinking chocolate milk from a container and smiling.",A boy is drinking a soda.,contradiction
A man with black glasses making balloon creations for children.,A clown entertains children with juggling.,contradiction
Men are playing different musical instruments in a park.,They play hocket in the park,contradiction
"Young couple pose for camera in formal wear, older man and woman in background.",The elephant roams its enclosure.,contradiction
A young boy is kneeling on a white floor next to an orange cloth.,The young boy is standing on a white floor.,contradiction
A horse race with numerous people on the horses in a grassy scene.,People riding rhinoceroses through the savannah in a race,contradiction
A dog is running through some dead leaves.,The dog is asleep on the bathroom floor.,contradiction
A team of six wearing safety helmets and other gear pull on a rope while standing on rocks.,A boy flies a kite on the beach.,contradiction
A man in a pink shirt is trying to sell hand made cowboy hats.,The woman is selling cowboys.,contradiction
"Two children, a boy in a blue shorts suit and a girl in a blue jumper, have a conversation in the hallway of a church.",The boys are riding their bikes.,contradiction
A man in a pink shirt and sunglasses is sitting in the sun.,A man is in the kitchen.,contradiction
Four large bags are tied onto a white car.,There are large bags on top of a blue car.,contradiction
a man tugging on a stick that a little dog has in his mouth,A man is throwing rocks at a dog.,contradiction
A man wearing a glove and grinding a piece of metal.,A women grinding a piece of metal.,contradiction
A middle-aged man in blue shirt cutting up and gutting fishes while other men in the background do similar tasks.,Men are feeding fish in an aquarium.,contradiction
A young woman with blond-hair and a pink Dior t-shirt checking under the cash drawer.,A young man with blond-hair and a pink Dior t-shirt checking under the cash drawer.,contradiction
A pictoral view of a red bridge and colored buildings on the side of waterway.,A man is walking on the bridge and coloured buildings.,contradiction
A man in a pink shirt walks in front of a blue storefront next to a lime green storm front.,A woman in a black shirt walks in front of a store.,contradiction
An elderly women dressed in pink and blue knits.,A woman is naked.,contradiction
A person in a coat is shoveling a snow-covered sidewalk in front of a street corner and a parked bicycle.,It is summer,contradiction
A man reading a book and kids inside a simple classroom,a man is in a classroom while kids read a book,contradiction
A group of people standing on a corner waiting for public transport.,A group of people are sitting on the street corner on benches.,contradiction
The man in the red shorts has a tattoo on his leg.,The man has no tattos on his body.,contradiction
Two motorcyclists race on an asphalt track on purple and green motorcycles.,two bikers are swimming laps at the olympic pool,contradiction
The men's rowing team in their green boat is practicing for their upcoming season.,The men's rowing team is at lunch,contradiction
A man with a receded hairline is in a chemistry lab working with several beakers.,A woman with a receded hairline is in a chemistry lab working with several beakers.,contradiction
A man in a bright pastel blue overcoat plays a unique instrument by the corner of a building with a sign propped against a bag in front of him.,The man was sleeping.,contradiction
"A man in shorts and a tank-top shirt tries to touch his foot while jumping, located on the shore of a large body of water.",The man is paraplegic.,contradiction
There are multiple chinese people standing on a street and one of two of them are carrying a flag.,A bunch of people are riding on a boat.,contradiction
A dog is herding a bucking cow.,A dog eats his food.,contradiction
People are sitting on the edge of a large reflecting pond.,a man playing soccer,contradiction
Two dogs run through a field.,Two dogs sleeping on sofa,contradiction
A motorcyclist is speeding on a road.,The motorcyclist is not speeding.,contradiction
Lacrosse players struggling for control of the ball.,There is only one person playing lacrosse.,contradiction
Many people on a street while vendors sell items.,There aren't any people on the street.,contradiction
"An elderly train conductor, dressed in black and white, posses for a picture.",A bus driver poses for a picture.,contradiction
A person in makeup in a traditional ceremony.,A person without makeup standing in line at the movies,contradiction
Four runners are racing at in indoor track meet.,Four runners are walking at an outdoor track meet.,contradiction
A lady pouring some type of liquid into what looks like a giant glass bowl.,The woman is lounging on the sofa.,contradiction
A man in a brown hat and beige shirt is sitting on a rock by the ocean.,a man fishing in the ocean,contradiction
Men walking in a middle eastern market.,Men are running in a marathon.,contradiction
"A large, white dog, with a fluffy tail is running on grass.",A big yellow dog is running on the grass.,contradiction
A Sealife aquarium in a round brick building.,A fish stand in a local outdoor farmer's market.,contradiction
A man rides on his bike with one hand and holds a drink with the other.,A man jogs on the sidewalk.,contradiction
A man in a white shirt cutting a cake while coworkers watch.,A man is sprinting through an open field with a baseball glove and his eyes up at the sky.,contradiction
People hold flags in a crowded block.,People are throwing flags on the ground and setting them on fire.,contradiction
a woman photographing a child dressed as a gladiator,The woman is taking a picture of a child dressed up like a princess.,contradiction
A group of man standing together and one of them is holding a cane.,The group of men are sitting at a bar watching a game.,contradiction
A boat worker securing line.,The boat worker is swimming in the ocean.,contradiction
Two men trying to ready a spot for concrete installation.,A group of men have pick axes.,contradiction
Grinning young boy with his hands behind his back in a flower garden wearing a gray and black striped sweater and blue jeans.,He is swimming.,contradiction
Three women and a man pose together holding their drinks.,There are people buying drinks.,contradiction
Two men look on as a third puts laundry detergent in a washer.,A man is changing his car's oil in front of his two friends.,contradiction
A man wearing a blue shirt kicks a soccer ball along a green field.,A man is wearing a football helmet.,contradiction
Three little boys on a float in a river.,Three boys play hopscotch on the sidewalk.,contradiction
This is a young football player in mid run.,The football player is tackling another playing.,contradiction
Tanned man in a animal print Speedo walking down the street.,A woman is wearing a jacket in the snowy parking lot.,contradiction
A skateboarder flies through the air while two people observe from a tall viewing post.,Three people ride one skateboard.,contradiction
A young boy wearing a red scarf around his head with the word free written in red on one cheek.,A group of children painting.,contradiction
A child helping a older man fix a door.,A woman helps an old man fix a door.,contradiction
A large furry dog walking through the water with a big stick in his mouth.,A small dog is on dry land.,contradiction
"A woman in a short, sleeveless bright orange dress and black leggings sits on a cement bench looking down, with numerous bicycles parked behind her.","There is a woman standing, looking at her bright orange dress.",contradiction
A group of people is walking down a path in a forest.,The group of people are walking down the boardwalk.,contradiction
A man holding a fishing pole and tackle box walking in from the ocean.,A woman fishing,contradiction
young boy surfing on blue water,An old man swims alone in the ocean,contradiction
Two tan dogs play in the snow.,The two dogs are playing in the sand.,contradiction
A group of people are on a boat.,There is no one on the boat.,contradiction
"A young woman and older woman wear traditional saris as they spin textiles, three people are pictured at only the waists, and wear modern clothes.",A group of people are drinking at a pub,contradiction
A child staring at Santa.,A child is sleeping on the couch.,contradiction
A man travels with two donkeys in the mountains,The man and his donkeys are at the beach.,contradiction
Four people sit and listen to a woman in a blue scoop neck talk with two bystanders in the background.,There are five people ignoring a man in a red sweatshirt while he yells into his phone.,contradiction
"Man in a long-sleeved black shirt, appears to be engaged in dance, in front of a blue sign that entails information about specific locations.",A woman wearing a white dress jumps up and down in front of a red stop sign.,contradiction
A woman with a hat walking with a middle-aged man.,A group of women protest.,contradiction
Children are riding in little cars.,Children crying for want of chocolate,contradiction
A man in an orange robe walking along a wall.,Man in a dress walking along a dirt road.,contradiction
A woman using a whisk to blend the liquid contents in a measuring cup.,The baker is icing the cake.,contradiction
Group of kids riding scooters.,Group of adults riding scooters.,contradiction
A man wearing a black baseball cap turned backwards is in front of an advertisement for smoked herring.,A young woman sits alone in front of an advertisement,contradiction
A uniformed woman holding a camera standing in front of a crowd of spectators.,The uniformed women is holding a camera while in the crowd.,contradiction
A woman in a pink v neck shirt is typing on a keyboard plugged into a laptop.,A woman is dancing by her table.,contradiction
a group of football players huddled together in the middle of the field.,Football players in the locker room.,contradiction
A man with a red vest looking at a man with an orange shirt holding a mirror.,A man wears a cap and gown.,contradiction
a nice newlywed couple.,Four people eating dessert,contradiction
A group of traveling people relaxing on top of a hill overlooking a range.,A group of travelers are swimming in a river.,contradiction
Runners are competing in a marathon.,The people are asleep.,contradiction
A soldier with a weapon squatting on the pavement,The soldier runs quickly through the grass.,contradiction
The giraffe's mouth is closed.,The giraffe ate a piece of grass.,contradiction
A man sits next to graffiti and number on a blue and white wall.,A man is standing in an art museum.,contradiction
"Man wearing a hat, preparing to taste some food he is cooking.",Bare-headed man preparing to cook.,contradiction
A pitcher prepares to throw a ball as a runner heads for third base.,A base runner attempts to steal home on a suicide squeeze play.,contradiction
The young girl is sitting on the swing seat waiting for the carnival ride to begin.,A boy is sitting on a bench.,contradiction
A group of women carry supplies on their head on a busy street.,The women are running through a field.,contradiction
A young child is kneeling and looking at a small creature inside a glass case.,The child is playing fetch with her puppy.,contradiction
A man holds the hair of a woman to show her matching tattoo.,The people have no tattoos.,contradiction
A busy city street with large buildings that have walkways connecting each other with many orange work vehicles everywhere.,The street is full of suburban homes.,contradiction
A large group of people fly kites on a sunny day.,A baby plays in the bath.,contradiction
A boy brushing his sisters hair.,The sister is brushing her brother's hair.,contradiction
Woman in a red headscarf covering her face.,A woman on a beach having a drink.,contradiction
"A girl wearing a striped shirt, plaid shorts, and a baseball hat is on a bike, pulling a man in a red cart with a black top.",A man is on a bike and pulling a girl in a red cart.,contradiction
A man is cooking a square pancake: he lifts it with his fingers and a spatula to check to see if it is done.,A man is eating a hot dog on his deck.,contradiction
Two opposing hockey players make a play for the puck with opposing fans and team members watching.,Two opposing hockey players are sitting on the beach.,contradiction
A child plays T-ball.,A girl is playing hopscotch.,contradiction
